"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01,103,yandex,cpc,freemium,103,21654,100,25,1654810
2023-06-01,78,yandex,cpc,prof-frontend,78,57138,73,12,1057000
2023-06-01,62,yandex,cpc,prof-python,62,33026,61,7,613196
2023-06-01,31,yandex,cpc,base-python,31,12524,28,7,476021
2023-06-01,71,vk,cpc,prof-python,71,2028,40,5,355564
2023-06-01,80,vk,cpc,freemium-frontend,80,3160,43,5,338083
2023-06-01,49,yandex,cpc,prof-java,49,29490,49,4,284590
2023-06-01,13,yandex,cpc,prof-professions-brand,13,4818,13,3,154287
2023-06-01,40,yandex,cpc,base-frontend,40,18061,39,3,268515
2023-06-01,51,vk,cpc,prof-java,51,3115,23,2,232726
2023-06-01,14,yandex,cpc,prof-data-analytics,14,10086,14,2,220264
2023-06-01,44,vk,cpc,freemium-python,44,980,25,1,1560
2023-06-01,6,yandex,cpc,dod-professions,6,,6,1,37800
2023-06-01,4,yandex,cpc,dod-php,4,5964,4,1,150255
2023-06-01,58,vk,cpc,base-python,58,2537,36,1,9072
